Trajectories
100
,,LauraNausi:C07V_B,,,LauraNausi:CLAV_B,,,LauraNausi:STRN_B,,,LauraNausi:T10V_B,,,LauraNausi:RBAK_B,,,LauraNausi:RSHO_B,,,LauraNausi:RUPA_B,,,LauraNausi:RELB_B,,,LauraNausi:RWRA_B,,,LauraNausi:RWRB_B,,,LauraNausi:RFIN_B,,,LauraNausi:LSHO_B,,,LauraNausi:LUPA_B,,,LauraNausi:LELB_B,,,LauraNausi:LWRA_B,,,LauraNausi:LWRB_B,,,LauraNausi:LFIN_B,,,LauraNausi:RASI_B,,,LauraNausi:RPSI_B,,,LauraNausi:LPSI_B,,,LauraNausi:LASI_B,,,LauraNausi:RTHI_B,,,LauraNausi:RKNE_B,,,LauraNausi:RTIB_B,,,LauraNausi:RANK_B,,,LauraNausi:RHEE_B,,,LauraNausi:RTOE_B,,,LauraNausi:LTHI_B,,,LauraNausi:LKNE_B,,,LauraNausi:LTIB_B,,,LauraNausi:LANK_B,,,LauraNausi:LHEE_B,,,LauraNausi:LTOE_B,,,LauraNausi:C07V_F,,,LauraNausi:CLAV_F,,,LauraNausi:STRN_F,,,LauraNausi:T10V_F,,,LauraNausi:RBAK_F,,,LauraNausi:RSHO_F,,,LauraNausi:RUPA_F,,,LauraNausi:RELB_F,,,LauraNausi:RWRA_F,,,LauraNausi:RWRB_F,,,LauraNausi:RFIN_F,,,LauraNausi:LSHO_F,,,LauraNausi:LUPA_F,,,LauraNausi:LELB_F,,,LauraNausi:LWRA_F,,,LauraNausi:LWRB_F,,,LauraNausi:LFIN_F,,,LauraNausi:ASIS_F,,,LauraNausi:RPSI_F,,,LauraNausi:LPSI_F,,,LauraNausi:RTHI_F,,,LauraNausi:RKNE_F,,,LauraNausi:RTIB_F,,,LauraNausi:RANK_F,,,LauraNausi:RHEE_F,,,LauraNausi:RTOE_F,,,LauraNausi:LTHI_F,,,LauraNausi:LKNE_F,,,LauraNausi:LTIB_F,,,LauraNausi:LANK_F,,,LauraNausi:LHEE_F,,,LauraNausi:LTOE_F,,,LauraNausi:C07V_B,,,LauraNausi:CLAV_B,,,LauraNausi:STRN_B,,,LauraNausi:T10V_B,,,LauraNausi:RBAK_B,,,LauraNausi:RSHO_B,,,LauraNausi:RUPA_B,,,LauraNausi:RELB_B,,,LauraNausi:RWRA_B,,,LauraNausi:RWRB_B,,,LauraNausi:RFIN_B,,,LauraNausi:LSHO_B,,,LauraNausi:LUPA_B,,,LauraNausi:LELB_B,,,LauraNausi:LWRA_B,,,LauraNausi:LWRB_B,,,LauraNausi:LFIN_B,,,LauraNausi:RASI_B,,,LauraNausi:RPSI_B,,,LauraNausi:LPSI_B,,,LauraNausi:LASI_B,,,LauraNausi:RTHI_B,,,LauraNausi:RKNE_B,,,LauraNausi:RTIB_B,,,LauraNausi:RANK_B,,,LauraNausi:RHEE_B,,,LauraNausi:RTOE_B,,,LauraNausi:LTHI_B,,,LauraNausi:LKNE_B,,,LauraNausi:LTIB_B,,,LauraNausi:LANK_B,,,LauraNausi:LHEE_B,,,LauraNausi:LTOE_B,,,LauraNausi:C07V_F,,,LauraNausi:CLAV_F,,,LauraNausi:STRN_F,,,LauraNausi:T10V_F,,,LauraNausi:RBAK_F,,,LauraNausi:RSHO_F,,,LauraNausi:RUPA_F,,,LauraNausi:RELB_F,,,LauraNausi:RWRA_F,,,LauraNausi:RWRB_F,,,LauraNausi:RFIN_F,,,LauraNausi:LSHO_F,,,LauraNausi:LUPA_F,,,LauraNausi:LELB_F,,,LauraNausi:LWRA_F,,,LauraNausi:LWRB_F,,,LauraNausi:LFIN_F,,,LauraNausi:ASIS_F,,,LauraNausi:RPSI_F,,,LauraNausi:LPSI_F,,,LauraNausi:RTHI_F,,,LauraNausi:RKNE_F,,,LauraNausi:RTIB_F,,,LauraNausi:RANK_F,,,LauraNausi:RHEE_F,,,LauraNausi:RTOE_F,,,LauraNausi:LTHI_F,,,LauraNausi:LKNE_F,,,LauraNausi:LTIB_F,,,LauraNausi:LANK_F,,,LauraNausi:LHEE_F,,,LauraNausi:LTOE_F,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z'
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s
1,0,48.121445,664.264526,1504.007080,43.998039,507.220795,1421.526978,37.842335,434.067902,1228.878052,63.037300,748.223633,1325.118408,-86.765686,723.046875,1421.712891,-102.471748,617.544189,1496.638672,-224.480347,652.729065,1457.690430,-416.207855,591.115601,1432.878784,-563.365112,437.571106,1407.895386,-596.627808,512.021240,1382.071777,-694.230957,421.343842,1435.858643,208.820724,608.502930,1492.841797,398.951233,627.442932,1415.484619,508.412537,598.789429,1378.432007,648.323242,455.885162,1366.441650,684.449890,520.142517,1325.441772,784.433411,423.160828,1366.866699,-98.423012,505.289917,1037.587036,16.072458,711.454834,1076.745361,106.179359,714.142212,1083.335938,183.582840,497.351227,1025.538330,-112.446739,518.790771,719.903198,-78.911728,584.415405,517.745483,-90.615463,612.351990,366.269958,-54.219193,673.905579,78.804436,4.255765,709.036194,35.241219,-99.800835,465.690491,30.142433,199.565277,519.422607,611.889893,192.474472,573.775330,516.612610,192.307465,609.908508,260.465454,170.902390,655.378540,81.577530,112.125610,710.564941,34.420712,153.319473,448.368469,31.579103,48.994785,236.287018,1371.477783,46.004131,123.060738,1312.468018,38.093552,76.099564,1132.549683,45.913822,271.434143,1118.567139,-46.938084,284.890900,1292.417847,-76.968399,201.303268,1379.037842,-181.239548,221.214798,1374.665771,-358.686371,195.178452,1378.660034,-587.330872,128.384903,1389.548828,-584.968018,193.352692,1384.819214,-652.700684,172.594452,1413.634399,164.060242,201.710739,1375.603271,364.140289,179.313080,1382.349365,455.082458,168.607269,1372.067871,680.606934,93.063202,1391.754883,672.491699,159.759445,1395.738770,748.367310,139.105438,1409.104858,35.302723,58.969013,931.866455,-4.048503,255.343231,964.121338,99.981705,249.695251,961.829834,-119.434875,124.561996,698.204346,-71.524750,154.424286,453.478760,-70.869728,162.359024,332.320923,-35.435757,209.293839,72.154823,-5.402968,247.371017,127.881363,-31.276222,60.854473,44.603836,171.925018,130.276382,582.097107,153.464828,154.480011,456.325684,149.628769,198.348557,219.169189,110.958435,215.762238,72.119431,83.690056,247.954544,134.927643,78.555664,60.501850,44.630047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,48.379360,663.673096,1504.240723,44.560139,506.428711,1421.818359,38.350964,433.257111,1229.062622,63.547855,747.506958,1325.162964,-86.340958,722.584473,1421.794312,-102.049484,617.113892,1496.793091,-223.999771,652.579041,1457.757813,-415.837921,591.130737,1433.194336,-563.124451,437.417206,1408.278931,-596.315186,511.889648,1382.512451,-693.802368,421.097046,1436.306641,209.177902,607.881470,1493.009277,399.276489,626.931396,1415.673340,508.776367,598.324341,1378.767578,648.869934,455.522491,1366.966553,684.938110,519.784607,1325.932861,785.096191,422.983185,1367.344482,-98.055008,504.379456,1037.824097,15.915196,710.363953,1076.781982,106.214561,713.378357,1083.394043,184.362152,496.871124,1025.608032,-111.752739,517.922607,719.911072,-78.529121,584.040833,517.848572,-90.241295,612.026062,366.430298,-54.124496,673.797363,78.928802,4.304486,708.983948,35.362049,-99.805916,465.673157,30.094391,200.597473,520.838501,612.066040,192.661652,575.582947,517.004517,192.655075,610.801270,260.989044,171.071762,655.595642,81.569084,112.165199,710.612000,34.425613,153.428864,448.432098,31.671896,49.027115,236.402344,1371.521606,46.105072,123.228493,1312.492432,38.090641,76.256775,1132.526855,45.879185,271.625427,1118.619873,-46.939087,284.956451,1292.462036,-76.927757,201.380142,1379.068726,-181.407654,221.187485,1374.788574,-358.682159,195.107361,1378.571045,-587.305908,128.238373,1389.330322,-584.959717,193.235580,1384.673584,-652.668457,172.410660,1413.471924,164.127151,201.886124,1375.507446,364.228302,179.504028,1382.126953,455.177094,168.728317,1371.849121,680.574341,92.809944,1391.606079,672.595276,159.565323,1395.520508,748.461060,138.845093,1408.801758,35.175362,59.265778,931.819702,-4.011383,255.565292,964.130920,100.001785,249.904770,961.856934,-119.485405,124.796165,698.237854,-71.561569,154.552521,453.472137,-70.885849,162.429489,332.342194,-35.437283,209.303452,72.176666,-5.387870,247.417099,127.903748,-31.280134,60.878529,44.596004,171.894043,130.368408,582.107422,153.435699,154.501221,456.314087,149.618271,198.397430,219.175629,110.960236,215.682037,72.057953,83.684029,248.006866,134.914749,78.602264,60.542801,44.657658,25.791676,-59.139729,23.365021,56.209789,-79.208611,29.134750,50.862877,-81.080200,18.465519,51.055847,-71.668625,4.458427,42.472778,-46.241283,8.141994,42.226166,-43.028595,15.437603,48.057735,-15.002489,6.735325,36.993622,1.513958,31.554699,24.062395,-15.389919,38.361549,31.262636,-13.160706,44.071674,42.861702,-24.679302,44.798851,35.716595,-62.143803,16.748905,32.526253,-51.158669,18.870831,36.382675,-46.509506,33.557415,54.669380,-36.269424,52.499771,48.822166,-35.786629,49.114227,66.274406,-17.762184,47.779083,36.800652,-91.046097,23.710728,-15.726127,-109.088425,3.659725,3.520399,-76.383354,5.817413,77.931580,-48.011543,6.973743,69.399925,-86.820129,0.792742,38.260967,-37.455559,10.305643,37.416817,-32.597778,16.033649,9.469688,-10.818243,12.437254,4.872074,-5.221367,12.082979,-0.508130,-1.734495,-4.804321,103.220345,141.590836,17.613173,18.718838,180.757050,39.190056,34.759937,89.275833,52.359699,16.938150,21.713972,-0.844896,3.958493,4.702806,0.490248,10.938942,6.362796,9.279325,3.232807,11.533499,4.386902,10.094047,16.774982,2.431870,-0.290945,15.720725,-2.276897,-3.463775,19.127131,5.280972,-0.100210,6.556511,4.410744,4.064292,7.687509,3.087521,-16.811489,-2.731383,12.278557,0.420213,-7.109344,-8.904934,2.497435,-14.652311,-21.851063,0.828505,-11.710823,-14.567375,3.218651,-18.379093,-16.248226,6.692111,17.537176,-9.584427,8.800626,19.094349,-22.244453,9.465218,12.105703,-21.886826,-3.260374,-25.326014,-14.877319,10.353327,-19.411743,-21.815300,9.375811,-26.035309,-30.303001,-12.736395,29.676407,-4.678965,3.712065,22.205711,0.959635,2.007931,20.951033,2.712011,-5.052984,23.417175,3.349781,-3.682077,12.823939,-0.661612,-1.612306,7.046759,2.127886,-0.152737,0.961125,2.184510,1.509814,4.607439,2.238154,-0.391155,2.405792,-0.783056,-3.097951,9.202957,1.031160,-2.913177,2.120435,-1.159310,-1.050532,4.887581,0.643730,0.180304,-8.021296,-6.147474,-0.602752,5.231798,-1.288950,4.659593,4.094839,2.761185
3,0,48.791622,663.207153,1504.378052,44.634041,505.925781,1422.164307,39.302044,432.337952,1229.461060,64.015564,746.763428,1325.217651,-85.959854,722.149170,1421.912231,-101.683128,616.673218,1497.021606,-223.580887,652.318970,1457.908203,-415.439636,591.051147,1433.401001,-562.742371,437.215546,1408.520508,-595.990051,511.727142,1382.852539,-693.342590,420.770874,1436.647949,209.556610,607.287903,1493.234497,399.572571,626.384338,1415.839600,509.233765,597.826477,1379.157593,649.413818,455.124542,1367.505737,685.366699,519.353149,1326.297363,785.718567,422.696747,1367.757202,-97.204773,503.077209,1037.899170,15.915277,709.276611,1076.911865,106.147987,712.698425,1083.517456,185.015869,496.522858,1025.777466,-111.044891,517.060547,719.948914,-78.100304,583.606201,517.944275,-89.859116,611.710022,366.604492,-54.097504,673.699585,79.040916,4.350500,708.966187,35.490551,-99.742577,465.656036,30.068018,201.336349,522.118286,612.174072,193.085632,577.362122,517.549438,192.969833,611.955505,261.433960,171.053818,655.743469,81.565430,112.196083,710.626831,34.408764,153.536621,448.469391,31.692387,49.047089,236.544006,1371.533081,46.143391,123.428307,1312.529541,38.116253,76.429008,1132.508179,45.833706,271.858429,1118.667480,-46.963612,285.025879,1292.501709,-76.912140,201.400986,1379.125732,-181.261429,221.218491,1374.755127,-358.663483,195.012894,1378.536377,-587.257446,128.071732,1389.201538,-584.937927,193.057556,1384.556030,-652.630066,172.222214,1413.393677,164.164673,202.018341,1375.481812,364.304504,179.667267,1381.960327,455.251770,168.819046,1371.780762,680.541260,92.585030,1391.503540,672.630310,159.361481,1395.324829,748.517456,138.580276,1408.541138,35.104733,59.561111,931.835449,-4.007102,255.782990,964.139038,100.033875,250.097778,961.878296,-119.440384,125.014854,698.224121,-71.582657,154.661423,453.479828,-70.964149,162.599838,332.226440,-35.433167,209.295303,72.170792,-5.371615,247.439941,127.878456,-31.285728,60.891788,44.644264,171.862045,130.448364,582.151428,153.429703,154.549072,456.317688,149.595306,198.458359,219.182037,110.974495,215.692154,72.064400,83.696182,248.038849,134.900772,78.609673,60.552921,44.672085,41.225925,-46.592949,13.732910,7.390231,-50.294399,34.594536,95.108154,-91.916321,39.839745,46.771019,-74.356796,5.459785,38.110466,-43.529274,11.789799,36.635994,-44.065712,22.852421,41.888653,-26.011467,15.032291,39.827824,-7.957220,20.670891,38.212540,-20.167233,24.151802,32.514336,-16.248226,34.010410,45.979023,-32.615662,34.129620,37.871300,-59.360268,22.518635,29.608608,-54.705143,16.617775,45.740604,-49.787758,38.993359,54.389236,-39.792061,53.918362,42.855740,-43.147804,36.454201,62.239170,-28.645992,41.270256,85.023048,-130.224228,7.498264,0.008009,-108.730789,12.981892,-6.657094,-67.996979,12.338161,65.371391,-34.826996,16.939640,70.784988,-86.206200,3.778934,42.881817,-43.463707,9.572506,38.218498,-31.602383,17.422438,2.699345,-9.781122,11.210889,4.601432,-1.776218,12.850017,6.333738,-1.710653,-2.637319,73.887405,127.977135,10.806322,42.396782,177.919861,54.496529,31.475723,115.424393,44.491886,-1.795590,14.781952,-0.365078,3.088266,1.484156,-1.684949,10.775030,3.731251,2.048910,1.997501,14.166534,1.144409,3.831834,19.981712,3.719330,2.561137,17.223507,-1.871586,-4.547834,23.299456,4.756451,-2.452359,6.940961,3.969669,1.561642,2.083182,5.698204,14.622509,3.100932,-3.337860,1.868606,-9.445847,-3.468990,4.845858,-16.665459,-12.874603,2.181530,-17.802418,-11.754036,3.838539,-18.845499,-7.832050,3.752112,13.221800,-2.563000,7.620454,16.324223,-16.665459,7.468462,9.071827,-6.830692,-3.308058,-22.491814,-10.251999,3.504753,-20.384789,-19.574165,5.638599,-26.480854,-26.071072,-7.062778,29.533356,1.579523,0.428082,21.770596,0.810623,3.208965,19.301474,2.133846,4.502386,21.868944,-1.370907,-2.109259,10.889769,0.768900,-7.829815,17.033518,-11.578202,0.411645,-0.815094,-0.587106,1.625437,2.284348,-2.528727,-0.559539,1.325831,4.825741,-3.199279,7.995963,4.398823,-0.599027,4.786253,0.360608,-2.296269,6.093085,0.642240,1.426041,1.011789,0.644475,1.215190,3.197789,-1.397729,0.741333,1.012161,1.442432
4,0,49.202358,662.733765,1504.493652,45.284622,505.800659,1422.235474,40.442387,431.412872,1229.696411,64.426888,746.128479,1325.301880,-85.545044,721.697815,1422.054932,-101.290573,616.269653,1497.175293,-223.167618,652.065308,1458.096191,-415.105927,590.937012,1433.570923,-561.846069,437.197113,1408.509155,-595.661133,511.551270,1383.119019,-692.810425,420.465851,1436.929443,209.891312,606.680054,1493.450439,399.953430,625.847351,1416.171997,509.494019,597.128357,1379.274292,649.881775,454.654297,1367.972168,685.787048,518.771790,1326.475342,786.288696,422.274872,1368.062744,-96.530136,501.907104,1038.054443,15.805528,708.763428,1076.575684,106.019051,712.054749,1083.718262,185.683487,496.241760,1026.031250,-110.243927,516.100525,720.128601,-77.672699,583.177979,518.032715,-89.514420,611.384216,366.778137,-53.988476,673.615662,79.235229,4.376096,708.891418,35.577194,-99.730591,465.599762,30.028664,201.616013,523.369141,612.154907,193.213638,579.022278,517.577637,193.312546,613.171326,261.732422,171.123520,656.102356,81.589340,112.203918,710.633179,34.353848,153.648376,448.497894,31.739141,49.080975,236.675278,1371.536377,46.173195,123.572174,1312.517212,38.123375,76.614807,1132.486816,45.785187,272.028168,1118.674805,-46.988525,285.131348,1292.576416,-76.890671,201.509033,1379.166260,-181.433365,221.212402,1374.858521,-358.630737,194.980820,1378.541504,-587.219971,127.896088,1389.126587,-584.884338,192.940109,1384.537964,-652.568726,172.030701,1413.372314,164.192459,202.193268,1375.471436,364.332275,179.775009,1381.874390,455.274078,168.808929,1371.686646,680.486267,92.395348,1391.416016,672.739197,159.360596,1395.246338,748.565552,138.345398,1408.377563,34.981255,59.806175,931.803162,-4.030631,255.998642,964.142639,100.018944,250.267334,961.882446,-119.466988,125.180420,698.236145,-71.622894,154.792435,453.490631,-70.915909,162.615402,332.359009,-35.421997,209.350677,72.238350,-5.345164,247.476212,127.869904,-31.213951,60.806015,44.489983,171.817093,130.504257,582.187622,153.403931,154.590469,456.375824,149.610626,198.495438,219.213577,110.996361,215.700104,72.066307,83.962791,248.336212,134.888687,78.606499,60.557392,44.702229,41.073563,-47.338009,11.551380,65.058098,-12.511015,7.116795,114.034119,-92.506409,23.531914,41.131676,-63.490868,8.428097,41.481106,-45.138596,14.269352,39.254875,-40.358307,15.377998,41.326881,-25.367737,18.799305,33.369659,-11.414289,16.999245,89.627502,-1.841784,-1.132488,32.895805,-17.589331,26.643276,53.215027,-30.502678,28.157234,33.469498,-60.784817,21.588802,38.084389,-53.697823,33.247471,26.023388,-69.814919,11.670589,46.795609,-47.025085,46.634674,42.033195,-58.138371,17.797947,57.011841,-42.188168,30.553341,67.463516,-117.009880,15.532970,-10.974892,-51.319599,-33.617020,-12.893974,-64.367058,20.086765,66.761673,-28.109550,25.379658,80.096725,-95.999237,17.970800,42.760372,-42.819977,8.845329,34.469368,-32.579899,17.362833,10.902807,-8.392334,19.431114,2.559600,-7.480383,8.664280,1.198798,-5.626678,-3.935397,27.966499,125.086304,-1.919270,12.801588,166.016815,2.819300,34.271179,121.581558,29.847027,6.970763,35.887955,2.390891,0.783801,0.631809,-5.491450,11.175871,2.849102,4.675612,3.388524,13.126432,0.333786,2.980605,14.386326,-1.239777,0.712276,18.579514,-2.133846,-4.851818,16.975403,0.727177,-2.491474,10.547042,7.474422,2.147257,10.804832,4.053116,-17.192959,-0.609457,10.335445,3.272295,-3.208220,0.512600,3.749132,-17.563999,-7.498264,5.358458,-11.743605,-1.811981,6.139278,-19.150972,-2.133846,2.777576,17.492474,-1.037121,2.777576,10.775030,-8.583069,2.229214,-1.011789,-9.405613,-5.501509,-18.967688,-8.749962,10.889769,-0.087917,-7.843971,4.810095,-23.488701,-16.355515,-12.347847,24.506451,-3.230572,-2.352940,21.564960,0.357628,-1.493096,16.954540,0.417233,-2.660602,16.556681,1.204014,-4.023314,13.101101,1.081824,4.824251,1.557171,13.259053,1.116842,5.537271,6.755442,2.645096,3.626943,-0.855327,7.177889,-8.577481,-15.427917,-4.495680,5.587935,3.618002,-2.576411,4.139543,5.814433,1.531839,3.707409,3.153086,2.186000,0.795722,0.190735,26.661158,29.736757,-1.208484,-0.317395,0.447035,3.014505
